1 0.9992 0.9961 0.9830 0.9984 0.9736
2 1.9851 1.9312 1.9812 1.8824 1.8934
4 3.7712 3.5354 3.5716 3.1944 3.0853
6 4.6092 4.9613 5.1511 3.7537 3.8269
8 4.5741 5.2515 5.8832 3.8923 4.4027
16 4.4888 4.9889 5.9133 4.1749 5
