16 322639 210098 288855 298101 402489 345791 345726 275004 394818 370661
8 312778 186405 271993 299706 452724 451926 338230 274992 408878 364601
4 597198 232751 383528 450247 740905 635746 612411 465012 614336 554627
2 957719 410518 702397 695264 1208854 1018446 1144434 855460 933451 1062653
1 1826090 831766 1376475 1297408 2478255 2019564 2272588 1639993 1886168 1951024
